"purchase_day";"ticket_price";"ticket_title";"ticket_sub_title";"tickets_count";"total_amount";"currency"
"2017-04-04 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"36";"25,20";"EUR"
"2017-04-04 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"20";"3,80";"EUR"
"2017-04-04 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"71";"9,23";"EUR"
"2017-04-04 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"40";"1158,40";"EUR"
"2017-04-04 00:00:00";"26,07";"30 dienų";"30 d. bilietas, galiojantis tik darbo d.";"9";"234,63";"EUR"
"2017-04-04 00:00:00";"11,87";"10 dienų";"10 dienų (240 val.) bilietas";"6";"71,22";"EUR"
"2017-04-04 00:00:00";"6,08";"3 dienų";"3 dienų (72 valandų) bilietas";"1";"6,08";"EUR"
"2017-04-04 00:00:00";"3,48";"1 dienos";"1 dienos (24 valandų) bilietas";"4";"13,92";"EUR"
"2017-04-04 00:00:00";"0,93";"60 minučių";"60 minučių bilietas";"324";"301,32";"EUR"
"2017-04-04 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"5142";"3290,88";"EUR"
"2017-04-03 00:00:00";"14,48";"30 dienų";"30 dienų bilietas su 50% nuolaida";"1";"14,48";"EUR"
"2017-04-03 00:00:00";"13,03";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 50% nuolaida";"2";"26,06";"EUR"
"2017-04-03 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"3";"5,22";"EUR"
"2017-04-03 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"41";"18,86";"EUR"
"2017-04-03 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"416";"133,12";"EUR"
"2017-04-03 00:00:00";"17,38";"3 mėnesių";"3 mėnesių (90 dienų) bilietas su 80% nuolaida";"2";"34,76";"EUR"
"2017-04-03 00:00:00";"15,64";"3 mėnesių";"3 mėn. (90 d.) bilietas, tik darbo d. su 80% nuolaida";"1";"15,64";"EUR"
